"Name","Price","Description","Features","Case Card","Category","Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Manual"
"Canon EF 24-105mm Still Photo Zoom Lens","20","This easy-to-use standard zoom lens can cover a large zoom area ranging from 24mm wide-angle to 105mm portrait-length telephoto, and its Image Stabilizer Technology steadies camera shake up to three stops. Constructed with one Super-UD glass element and three aspherical lenses, this lens minimizes chromatic aberration and distortion. <p>The result is excellent picture quality, even at wide apertures. Canon's ring-type USM gives silent but quick AF, along with full-time manual focus. Moreover, with dust- and moisture-resistant construction, this is a durable yet sophisticated lens that meets the demands of advanced amateur photographers and professional photographers alike.","X","","","","","","","",""
"32GB 600x 90MB/s Compact Flash Card","20","?","X","","Rentals>?>?","","","","","",""
"Denecke SB3 Syncbox Time Code Generator","25","The Dcode® SB-3 is designed to replace the Dcode SB-2A in the Denecke line of Time Code Generators. The SB-3 reads, generates and jams to all the standard frame rates including 23.976 for High Definition shoots. The outputs include Time Code and Word Clock. The Temperature Compensated Crystal Oscillator (TCXO) ensures low drift and very low Word Clock jitter.","*Generates Word Clock in 44.1 KHz, 48 KHz, 96 KHz and 192 KHz, as well as all standard time code rates.*Very low Word Clock jitter locked to the high stability crystal (TCXO).*Cross jam regardless of incoming frame rates.*Simple to set up.*Generates all common SMPTE Time Code frame rates.*Low and Dead battery warning.*Jam from an external time code source or set it internally and use as a stand alone generator.*Runs on 2 AA batteries.*Continuously jams to new code so there is no need to power down the unit to re-jam.","","2 Categories: 1) Rentals>Production Gear>Miscellaneousand 2)Rentals>Production Gear>Signal Generators","","","","","",""
"Canon EF to Sony E Mount Adapter","35","Lens Adapter for Canon EF Mount lenses to Sony E Mount for use with cameras such as the Sony FS-100","• True electronic integration of aperture diaphragm - let camera automatically choose aperture in P or S exposure modes, or dial in yourself on the camera body in A or M modes.• Powered by camera body. No external power source required.• Wide Open (Iris) Button (opposite of depth-of-field preview function) makes manual focusing easy.L1260","","Lens-Adapter","","","","","",""
"Alphatron EVF-035W-3G","65","The Alphatron Broadcast Electronics EVF-035W-3G Electronic Viewfinder features a 3.54"" LED-backlit LCD and displays 24-bit RGB at 960 x 640 resolution in a 16:9 aspect ratio. Brightness is at 500 nit and contrast ratio at 1000:1. The viewing angle is 160 x 160 degrees. The unit comes equipped with an adjustable diopter and a manual lens shutter for protection of the LCD. <p>Connections consist of SDI and HDMI inputs and outputs. You can loop out from both SDI and HDMI and perform conversion out from HDMI to SDI. <p>Adjustable features include Brightness, Contrast, Color Temperature, Sharpness, various Scan modes, Markers, User Aspect Zoom and Blue Gun. Professional features available are 3G Level A/B, Audio Meter, Time Code, Range Error, Zebra, Luma y' Zone Check, Focus Assist and Internal Colorbar and Pluge Pattern. ","X","","2 categories 1) Rentals>Cameras>Accessories and Rentals>Display>Monitors-LCD","","","","","",""
"Canon EF 100-400mm IS Still Photo Zoom Lens","35","Equipped with an Image Stabilizer, the Canon EF 100-400mm telephoto zoom lens makes it easy to capture the far-off action of fast-paced sports or zoom in for an intimate portrait with a blurred background. The lens offer such features as fluorite and Super UD-glass elements that largely eliminate secondary spectrum; a floating system that ensures high picture quality at all focal lengths; two Image Stabilizer modes; and compatibility with extenders 1.4x II and 2x II. ","X","","Lenses","","","","","",""
"Canon EF 24-70mm MARK II Still Photo Zoom Lens","40","Meeting the ever-increasing demands on image quality that digital photography brings, the redesigned EF 24-70mm f/2.8L II USM is the latest update to the acclaimed L-Series of EF optics, re-establishing a new standard for superb optics, high-end durable construction and performance in professional zoom lenses. A standard focal length zoom lens, it features a large aperture throughout its focal length. Featuring the latest advances in optical lens design, it utilizes 1 Super UD lens element and 2 UD lens elements that help minimize chromatic aberration in the periphery at wide-angle as well as reduced color blurring around the edges of the subject. In addition, 2 types of aspherical lenses are combined to help reduce spherical aberration over the entire image area as well as through the full zoom range. Optimized lens coatings also help ensure exceptional color balance while minimizing ghosting. The lens is also equipped with a circular 9-blade diaphragm for beautiful, soft backgrounds. A ring-type USM and high-speed CPU with optimized AF algorithms enable silent and fast autofocusing. Built for the rigors of professional use as well as to meet the increased number of shots available with digital photography, it's constructed with improved dust sealing and water resistance while fluorine coatings on the front and rear lens surfaces help reduce soiling, smears and fingerprints. A zoom lock lever locks the zoom position at the wide end for safe transporting while attached to an EOS DSLR camera over the shoulder.","X","","Lens - 35mm Zoom","","","","","",""
"Codex 512GB XR Capture Drive","250","Designed to work with the ARRI ALEXA XT and ALEXA XR Module, the Codex Capture Drive XR gives you up to 512 GB (480 GB usable) of solid-state storage in a small form factor and can record ARRIRAW at up to 120 FPS (16:9). This allows for the recording of up to 45 minutes of ARRIRAW 16:9 at 24 FPS or 107 minutes of ProRes 444 at 24 FPS. ","X","","Rentals>?>Digital Storage?","","","","","",""
"32GB 1067X 160MB/s Compact Flash Card","20","?","X","","Rentals>?>?","","","","","",""
"Zylight F8 LED Fresnel Light","125","All of the hallmarks of a traditional Fresnel light are present in the Zylight F8; Single shadow beam shaping through barn doors, continuous focusing and a smooth light field. The Zylight F8 is extremely compact, durable and the most versatile Fresnel light ever built. This rental version has a daylight 5600K color temperature.<p><b>Field Friendly</b></br>The Zylight F8 can be powered by either a worldwide AC power adapter or a standard 14.4V camera battery for complete portability. Its thin design and shape allow it to pack into small cases and be taken anywhere. The water-resistant IP54 rating ensures the F8 will be comfortable in falling rain or snow, and blowing dirt and dust. Whether you're shooting a stand-up in a hurricane or snow storm, the F8 will deliver the bright light you need.<p><b>Ultra Bright Output</b></br>The F8's advanced ultra bright LED module ensures excellent skin tones and rich, accurate color rendition. Continual focusing and an adjustable beam spread between 16-70 degrees allows for even coverage when shooting with wide-angle lenses or HD 16x9 format. The F8 uses a high quality glass 8.0"" Fresnel lens and has an equivalent output of a traditional 650 watt instrument. ","Thin & Lightweight DesignHigh 97+ CRIWater Resistant IP54 RatingContinual Focus- Variable Spot-FloodCompletely Silent OperationSingle Shadow Beam ShapingFully Dimmable 100 – 0%5600KBattery or Worldwide AC PowerYoke Mount for Pan and TiltSturdy, Durable Aluminum ConstructionMade Production Tough in the USA","","Rentals>Lighting & Grip>LED","","","","","",""
